Name,Owner,Stars,Forks,Last Updated,License,URL
SpringBoot-Labs,yudaocode,19448,6077,2024-04-28T06:20:25Z,N/A,https://github.com/yudaocode/SpringBoot-Labs
LSPosed,LSPosed,19382,3149,2025-03-04T21:28:36Z,GNU General Public License v3.0,https://github.com/LSPosed/LSPosed
cat,dianping,18802,5427,2025-01-04T10:23:47Z,Apache License 2.0,https://github.com/dianping/cat
DSA-Bootcamp-Java,kunal-kushwaha,18500,11719,2024-08-18T08:21:57Z,N/A,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
thingsboard,thingsboard,18387,5438,2025-03-12T17:18:19Z,Apache License 2.0,https://github.com/thingsboard/thingsboard
Algorithms,williamfiset,17738,4437,2024-12-30T10:03:15Z,MIT License,https://github.com/williamfiset/Algorithms
intellij-community,JetBrains,17728,5363,2025-03-12T18:55:12Z,Apache License 2.0,https://github.com/JetBrains/intellij-community
antlr4,antlr,17670,3342,2025-03-10T00:12:19Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/antlr/antlr4
disruptor,LMAX-Exchange,17669,3935,2025-02-16T11:03:59Z,Apache License 2.0,https://github.com/LMAX-Exchange/disruptor
APIJSON,Tencent,17515,2187,2025-03-09T14:36:37Z,Other,https://github.com/Tencent/APIJSON
tinker,Tencent,17253,3344,2025-01-21T09:40:52Z,Other,https://github.com/Tencent/tinker
Sa-Token,dromara,17186,2672,2025-03-11T05:50:58Z,Apache License 2.0,https://github.com/dromara/Sa-Token
zipkin,openzipkin,17138,3102,2025-02-21T12:40:03Z,Apache License 2.0,https://github.com/openzipkin/zipkin
fresco,facebook,17098,3759,2025-03-12T19:00:56Z,MIT License,https://github.com/facebook/fresco
yudao-cloud,YunaiV,16871,4169,2025-02-09T04:56:51Z,MIT License,https://github.com/YunaiV/yudao-cloud
analysis-ik,infinilabs,16855,3290,2025-02-14T03:51:57Z,Apache License 2.0,https://github.com/infinilabs/analysis-ik
JustAuth,justauth,16787,2793,2024-12-14T09:34:26Z,MIT License,https://github.com/justauth/JustAuth
Android-Universal-Image-Loader,nostra13,16778,6088,2024-08-15T11:03:23Z,Apache License 2.0,https://github.com/nostra13/Android-Universal-Image-Loader
java8-tutorial,winterbe,16770,4046,2023-08-11T18:44:34Z,MIT License,https://github.com/winterbe/java8-tutorial
mybatis-plus,baomidou,16704,4339,2025-03-12T14:42:42Z,Apache License 2.0,https://github.com/baomidou/mybatis-plus
material-components-android,material-components,16609,3116,2025-03-11T18:02:08Z,Apache License 2.0,https://github.com/material-components/material-components-android
Grasscutter,Grasscutters,16474,4471,2024-11-30T00:50:50Z,GNU Affero General Public License v3.0,https://github.com/Grasscutters/Grasscutter
kestra,kestra-io,16438,1389,2025-03-12T16:10:45Z,Apache License 2.0,https://github.com/kestra-io/kestra
springboot-learning-example,JeffLi1993,16438,7126,2023-12-03T12:33:47Z,Apache License 2.0,https://github.com/JeffLi1993/springboot-learning-example
caffeine,ben-manes,16368,1626,2025-03-07T05:09:04Z,Apache License 2.0,https://github.com/ben-manes/caffeine
DataX,alibaba,16280,5511,2025-02-18T05:53:28Z,Other,https://github.com/alibaba/DataX
BigData-Notes,heibaiying,16251,4273,2024-01-05T03:00:32Z,N/A,https://github.com/heibaiying/BigData-Notes
presto,prestodb,16244,5432,2025-03-12T18:47:22Z,Apache License 2.0,https://github.com/prestodb/presto
Ehviewer_CN_SXJ,xiaojieonly,16121,439,2025-03-06T06:17:54Z,Other,https://github.com/xiaojieonly/Ehviewer_CN_SXJ
SpringBoot-Learning,dyc87112,15770,4878,2023-12-17T15:45:30Z,N/A,https://github.com/dyc87112/SpringBoot-Learning
VirtualXposed,android-hacker,15617,2505,2024-03-08T05:09:27Z,GNU General Public License v3.0,https://github.com/android-hacker/VirtualXposed
Android-CleanArchitecture,android10,15533,3315,2023-04-28T06:54:52Z,Apache License 2.0,https://github.com/android10/Android-CleanArchitecture
tech-interview-for-developer,gyoogle,15416,3505,2024-11-19T23:41:00Z,MIT License,https://github.com/gyoogle/tech-interview-for-developer
mockito,mockito,15060,2595,2025-03-12T12:46:24Z,MIT License,https://github.com/mockito/mockito
